日志ID,用户ID,问题,回答,知识库来源,时间戳
L001,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 16:25:59
L002,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 16:26:20
L003,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 17:00:28
L004,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 17:58:01
L005,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 18:39:39
L006,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 18:47:18
L007,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 19:08:17
L008,U001,测试问题,测试回答,员工手册.pdf,2026-07-04 19:10:12
L009,anonymous,员工入职流程是什么？,"您好！提供的知识库中没有关于员工入职流程的相关信息，建议您咨询HR部门。

【来源:无-第0页】",未知,2026-07-05 10:30:39
L010,U001,迟到扣款怎么计算？,"您好！关于迟到扣款的计算方式，当前知识库中暂无相关信息。建议您咨询HR部门获取准确的解答。

【来源:无-第0页】",未知,2026-07-05 10:31:25
L011,U001,员工入职流程是什么？,"根据知识库内容，员工入职流程主要包括以下几个步骤：

**1. 信息核查与确认报到**
行政部核查应聘者的相关信息，真实无误后通知办理入职手续。对确定录用的员工，由人力资源负责确认报到日期。

**2. 报到登记与资料递交**
试用人员报到时，需到人力资源部专岗人员处填写入职登记表，并送交以下资料：
* **入职合同（4件）**：劳动合同（按入职通知书内容填写）、薪酬确认单（填写基本工资部分）、绩效薪酬通知书（填写转正后绩效工资）、薪酬保密协议书。
* **员工个人档案表**。
* **入职材料（10件）**：原雇主出具的劳动合同终止/解除证明、收入证明原件或工资单或工资卡登折记录、居民身份证及原件及复印件、三张1寸免冠照片、毕业证书及复印件、学历文件及复印件、相关资格证书、体检报告（近三个月内）、户口本首页及本人页复印件、招商银行卡复印件。
* *注：凡有剥夺政治权利尚未恢复、被判刑或通缉未结案、违法违纪记录、与其他单位存有劳动关系或竞业禁止责任、吸毒或严重不良嗜好、患有精神病/传染病/重大病史等情形者，不得录用。*

**3. 办理入职手续**
新进人员由人力资源部办理入职手续，包括递交相关资料、领用办公用品、填写相应表单、签订相关合同和协议。新员工需在入公司1个月内签订《劳动合同》、保密协议，特殊岗位需签订竞业禁止协议等。

**4. 入职培训与考核**
新员工需参加入职培训和考核，考核不合格者不予录用。培训内容主要包括：
* **公司级培训**：公司发展情况、愿景、组织架构、企业文化、相关规章制度、员工手册、员工道德规范及产品知识等。人力资源部还可组织参观办公区域。
* **部门级培训**：入职部门出具的岗位课程，包括部门职能及工作程序、岗位职能及工作事项、工作操作流程、应遵守或注意的事项及准则等。

**5. 开始试用**
新员工通过入职培训和考核后，正式开始工作。试用期原则上为3个月（应届毕业生试用期为6个月），后续将根据工作表现决定是否提前转正或按期转正。

【来源:员工手册.pdf-第5页】
【来源:员工手册.pdf-第7页】
【来源:员工手册.pdf-第8页】",未知,2026-07-05 10:53:23
L012,U001,迟到扣款怎么计算？,"根据知识库内容，关于迟到的界定及扣款计算规定如下：

**一、 迟到的界定**
1. 上班时间开始后5分钟至30分钟内到班者，按迟到论处。
2. 超过30分钟以上者，按旷工半天论处。

**二、 迟到扣款计算方式**
知识库中记录了两种迟到扣薪的计算标准：

**标准一：按累计次数扣发基本工资**
1个月内迟到累计次数达到以下标准时，扣发相应天数的基本工资：
* 累计达3次者：扣发5天的基本工资；
* 累计达3次以上5次以下者：扣发10天的基本工资；
* 累计达5次以上10次以下者：扣发当月15天的基本工资；
* 累计达10次以上者：扣发当月的基本工资。

**标准二：按累计小时数扣薪（针对每月累计超过3次的情况）**
每月迟到累计超过3次时，按以下公式进行扣薪：
* **扣薪金额** = 薪资合计数 ÷ 月法定工作时数 × 累计迟到小时数 × 2
* *注：累计迟到小时数以0.5小时为计算单位，不满0.5小时者以0.5小时计。*

【来源:员工手册.pdf-第11页】
【来源:员工手册.pdf-第14页】",未知,2026-07-05 10:53:57
L013,U001,重庆今天天气怎么样,"抱歉，提供的知识库中没有关于重庆今天天气的相关信息，建议您咨询HR部门。

【来源:无】",未知,2026-07-05 10:54:57
L014,U001,测试问题,测试回答,员工手册.pdf,2026-07-05 11:16:32
L015,U001,迟到扣款怎么计算？,"根据《员工手册》规定，迟到扣款的计算方式如下：

1. **常规迟到扣薪**：
员工每日迟到以超过5分钟但不满半小时计为1次，每月迟到累计不得超过3次。若超过3次，则按以下公式扣薪：
**扣薪金额 = 薪资合计数 ÷ 月法定工作时数 × 累计迟到小时数 × 2**
*注：累计迟到小时数以0.5小时为计算单位，不满0.5小时者以0.5小时计。*

2. **严重迟到（按旷工处理）**：
如果员工迟到超过0.5小时，将作旷工半天处理。旷工扣薪的计算公式为：
**扣薪金额 = 薪资合计数 ÷ 月法定工作时数 × 旷工时数 × 3**

【来源:员工手册.pdf-第14页】",未知,2026-07-05 11:33:30
L016,anonymous,员工入职流程是什么？,"根据知识库内容，员工入职流程主要包括以下几个步骤：

**一、信息核查与入职通知**
行政部核查应聘者的相关信息，确认真实无误后，通知其办理入职手续。

**二、报到与资料提交**
试用人员报到时，需到人力资源部专岗人员处填写入职登记表，并送交以下资料：
1. **入职合同（4件）**：
   - 劳动合同（全部内容按照入职通知书对应内容填写）
   - 薪酬确认单（填写基本工资部分）
   - 绩效薪酬通知书（填写转正后的绩效工资）
   - 薪酬保密协议书
2. **员工个人档案表**。
3. **入职材料（10件）**：原雇主出具的劳动合同终止/解除证明、收入证明原件或工资单或工资卡登折记录、居民身份证及原件及复印件、三张1寸免冠照片、毕业证书及复印件、学历文件及复印件、相关资格证书、体检报告（近三个月内）、户口本首页及本人页复印件、招商银行卡复印件。

**三、办理入职手续**
新进人员由人力资源部办理入职手续，包括递交相关资料、领用办公用品、填写相应表单、签订相关合同和协议。新员工需在入公司1个月内签订《劳动合同》、保密协议，特殊岗位需签订竞业禁止协议等。

**四、入职培训与考核**
办理手续后需进行入职培训和考核（考核不合格者不予录用）。培训内容包括：
1. 公司目前发展情况、公司愿景、相关规章制度、员工手册等。
2. 入职部门出具的岗位课程，包括部门职能及工作程序、岗位职能及工作事项、工作操作流程、应遵守或注意的事项及准则等。

**五、试用期与转正**
通过入职培训和考核后开始工作。试用期原则上为3个月，公司会根据工作表现决定是否提前转正。转正需要提交个人的转正申请以及试用期间的考核成绩。

*注：若应聘者存在违法违纪记录、与其他单位存有劳动纠纷或竞业禁止责任、患有重大病史等情形，不得录用；试用期间若发现品行不良、违反制度或提供虚假资料者，将予以辞退。*

【来源:员工手册.pdf-第7页】
【来源:员工手册.pdf-第8页】",未知,2026-07-05 11:34:03
